,Date,Day,Rooms Sold,Arrival Rooms,Compliment Rooms,House Use,Individual Confirm,Occupancy %,Room Revenue,ARR,Departure Rooms,OOO Rooms,Pax,Total Room Inventory,snapshot_date,arrival_date,actual_or_forecast
34,2023-03-12 00:00:00,Sunday,114.0,58.0,1.0,2.0,77.0,97.44,1.052465661595464,13584.33,34.0,13.0,218.0,117.0,2023-03-12,2023-03-12,actual
35,2023-03-13 00:00:00,Monday,117.0,37.0,2.0,2.0,83.0,96.69,1.307046790840526,14093.16,13.0,9.0,229.0,121.0,2023-03-13,2023-03-13,actual
36,2023-03-14 00:00:00,Tuesday,118.0,47.0,1.0,2.0,77.0,97.52,0.9589936738810029,12811.8,18.0,10.0,224.0,121.0,2023-03-14,2023-03-14,actual
37,2023-03-15 00:00:00,Wednesday,119.0,60.0,0.0,2.0,64.0,98.35,0.9315671684828052,12613.35,23.0,9.0,211.0,121.0,2023-03-15,2023-03-15,actual
38,2023-03-16 00:00:00,Thursday,118.0,24.0,1.0,2.0,57.0,97.52,1.0767215167490902,13204.82,14.0,9.0,232.0,121.0,2023-03-16,2023-03-16,actual
39,2023-03-17 00:00:00,Friday,118.0,61.0,0.0,3.0,64.0,97.52,0.9259188924266233,12701.38,39.0,9.0,216.0,121.0,2023-03-17,2023-03-17,actual
40,2023-03-18 00:00:00,Saturday,116.0,38.0,1.0,2.0,92.0,97.48,1.1935608667544073,13829.26,19.0,11.0,225.0,119.0,2023-03-18,2023-03-18,actual
41,2023-03-19 00:00:00,Sunday,110.0,46.0,1.0,2.0,71.0,97.35,0.9167267991235065,13592.2,27.0,17.0,199.0,113.0,2023-03-19,2023-03-19,actual
42,2023-03-20 00:00:00,Monday,108.0,46.0,3.0,2.0,84.0,93.1,0.6883155925135812,13010.79,18.0,14.0,208.0,116.0,2023-03-20,2023-03-20,actual
43,2023-03-21 00:00:00,Tuesday,103.0,43.0,1.0,2.0,82.0,90.35,0.546725369902523,13100.87,18.0,16.0,188.0,114.0,2023-03-21,2023-03-21,actual
44,2023-03-22 00:00:00,Wednesday,115.0,49.0,0.0,2.0,91.0,98.29,1.0754700110881026,13545.0,16.0,13.0,200.0,117.0,2023-03-22,2023-03-22,actual
45,2023-03-23 00:00:00,Thursday,107.0,40.0,0.0,3.0,82.0,91.45,0.7582349037115226,13389.79,22.0,13.0,196.0,117.0,2023-03-23,2023-03-23,actual
46,2023-03-24 00:00:00,Friday,116.0,52.0,1.0,2.0,78.0,97.48,0.7359337328559907,12275.21,28.0,11.0,209.0,119.0,2023-03-24,2023-03-24,actual
47,2023-03-25 00:00:00,Saturday,112.0,52.0,1.0,1.0,59.0,95.73,0.46698948184648914,11767.67,26.0,13.0,218.0,117.0,2023-03-25,2023-03-25,actual
48,2023-03-26 00:00:00,Sunday,112.0,33.0,2.0,2.0,73.0,95.73,0.4622677769186247,11751.07,15.0,13.0,214.0,117.0,2023-03-26,2023-03-26,actual
49,2023-03-27 00:00:00,Monday,111.0,44.0,2.0,2.0,67.0,94.07,0.7827319212136151,12994.22,16.0,12.0,195.0,118.0,2023-03-27,2023-03-27,actual
50,2023-03-28 00:00:00,Tuesday,98.0,28.0,0.0,2.0,52.0,82.35,0.36261949453239256,13029.24,20.0,11.0,174.0,119.0,2023-03-28,2023-03-28,actual
51,2023-03-29 00:00:00,Wednesday,98.0,35.0,1.0,2.0,73.0,84.48,0.3667192544563179,13045.72,14.0,14.0,183.0,116.0,2023-03-29,2023-03-29,actual
52,2023-03-30 00:00:00,Thursday,102.0,30.0,1.0,2.0,79.0,92.73,0.5030597535239226,13060.68,12.0,17.0,196.0,110.0,2023-03-30,2023-03-30,actual
53,2023-03-31 00:00:00,Friday,113.0,57.0,4.0,1.0,75.0,95.76,0.7276809034363738,12572.33,27.0,12.0,237.0,118.0,2023-03-31,2023-03-31,actual
54,2023-04-01 00:00:00,Saturday,112.0,47.0,5.0,1.0,82.0,94.12,0.17520334861068412,10741.41,26.0,12.0,230.0,119.0,2023-04-01,2023-04-01,actual
55,2023-04-02 00:00:00,Sunday,89.0,33.0,1.0,1.0,65.0,75.42,-0.5960998441111587,10103.39,19.0,13.0,188.0,118.0,2023-04-02,2023-04-02,actual
56,2023-04-03 00:00:00,Monday,84.0,35.0,0.0,3.0,73.0,71.79,-0.7053540036194549,10192.42,15.0,13.0,167.0,117.0,2023-04-03,2023-04-03,actual
57,2023-04-04 00:00:00,Tuesday,70.0,32.0,2.0,2.0,60.0,61.4,-0.9352858023002354,10936.96,16.0,16.0,149.0,114.0,2023-04-04,2023-04-04,actual
58,2023-04-05 00:00:00,Wednesday,52.0,24.0,1.0,2.0,38.0,46.85,-1.2647694184278615,12226.83,15.0,19.0,116.0,111.0,2023-04-05,2023-04-05,actual
59,2023-04-06 00:00:00,Thursday,49.0,22.0,0.0,1.0,40.0,43.36,-1.464599078917988,11368.93,18.0,17.0,109.0,113.0,2023-04-06,2023-04-06,actual
60,2023-04-07 00:00:00,Friday,56.0,29.0,0.0,2.0,43.0,62.92,-1.3039417994718812,11077.94,11.0,41.0,127.0,89.0,2023-04-07,2023-04-07,actual
61,2023-04-08 00:00:00,Saturday,55.0,21.0,0.0,1.0,52.0,49.11,-1.3811569063486842,10726.32,20.0,18.0,137.0,112.0,2023-04-08,2023-04-08,actual
62,2023-04-09 00:00:00,Sunday,50.0,16.0,2.0,1.0,42.0,45.45,-1.4706459074868983,11093.9,24.0,20.0,134.0,110.0,2023-04-09,2023-04-09,actual
63,2023-04-10 00:00:00,Monday,55.0,24.0,4.0,1.0,41.0,49.11,-1.2696510520710247,11524.96,7.0,18.0,139.0,112.0,2023-04-10,2023-04-10,actual
64,2023-04-11 00:00:00,Tuesday,82.0,37.0,8.0,1.0,59.0,73.87,-0.6369629001454782,10769.57,9.0,19.0,189.0,111.0,2023-04-11,2023-04-11,actual
65,2023-04-12 00:00:00,Wednesday,76.0,35.0,7.0,1.0,36.0,67.86,-0.6736982721944711,11429.38,23.0,18.0,177.0,112.0,2023-04-12,2023-04-12,actual
66,2023-04-13 00:00:00,Thursday,84.0,19.0,1.0,1.0,50.0,74.34,-0.6304439010837815,10543.72,28.0,17.0,171.0,113.0,2023-04-13,2023-04-13,actual
67,2023-04-14 00:00:00,Friday,77.0,27.0,1.0,1.0,55.0,71.3,-0.8086451067430448,10590.57,15.0,23.0,155.0,108.0,2023-04-14,2023-04-14,actual
68,2023-04-15 00:00:00,Saturday,74.0,30.0,0.0,1.0,65.0,65.49,-0.8227543734038355,10944.82,15.0,17.0,154.0,113.0,2023-04-15,2023-04-15,actual
69,2023-04-16 00:00:00,Sunday,81.0,40.0,0.0,1.0,55.0,71.68,-0.5770378643781833,11193.95,19.0,17.0,152.0,113.0,2023-04-16,2023-04-16,actual
70,2023-04-17 00:00:00,Monday,108.0,47.0,4.0,1.0,74.0,92.31,-0.045663284318803954,10333.64,14.0,13.0,195.0,117.0,2023-04-17,2023-04-17,actual
71,2023-04-18 00:00:00,Tuesday,110.0,52.0,4.0,2.0,71.0,94.02,0.3652418177530829,11617.26,17.0,13.0,202.0,117.0,2023-04-18,2023-04-18,actual
72,2023-04-19 00:00:00,Wednesday,88.0,26.0,3.0,1.0,62.0,77.19,-0.41394865303912276,11033.58,17.0,16.0,167.0,114.0,2023-04-19,2023-04-19,actual
73,2023-04-20 00:00:00,Thursday,57.0,16.0,3.0,1.0,52.0,50.89,-1.0818845861062811,12418.22,21.0,18.0,130.0,112.0,2023-04-20,2023-04-20,actual
74,2023-04-21 00:00:00,Friday,49.0,21.0,6.0,2.0,49.0,44.14,-1.4525841168622984,11465.52,18.0,19.0,128.0,111.0,2023-04-21,2023-04-21,actual
75,2023-04-22 00:00:00,Saturday,61.0,28.0,3.0,2.0,53.0,54.95,-1.127218030515853,11311.16,11.0,19.0,146.0,111.0,2023-04-22,2023-04-22,actual
76,2023-04-23 00:00:00,Sunday,57.0,29.0,2.0,4.0,46.0,52.29,-1.1907122690404477,11666.12,19.0,21.0,128.0,109.0,2023-04-23,2023-04-23,actual
77,2023-04-24 00:00:00,Monday,65.0,34.0,0.0,3.0,46.0,59.63,-0.8696439495987734,12176.09,15.0,21.0,138.0,109.0,2023-04-24,2023-04-24,actual
78,2023-04-25 00:00:00,Tuesday,65.0,23.0,0.0,4.0,51.0,59.63,-1.0722634776779982,10948.12,14.0,21.0,129.0,109.0,2023-04-25,2023-04-25,actual
79,2023-04-26 00:00:00,Wednesday,79.0,40.0,3.0,4.0,56.0,73.83,-0.688982887985155,10919.14,12.0,23.0,149.0,107.0,2023-04-26,2023-04-26,actual
80,2023-04-27 00:00:00,Thursday,111.0,57.0,2.0,3.0,64.0,95.69,0.04417095976037223,10373.16,20.0,14.0,188.0,116.0,2023-04-27,2023-04-27,actual
81,2023-04-28 00:00:00,Friday,71.0,9.0,2.0,3.0,56.0,61.74,-1.0015089831890527,10415.5,27.0,15.0,137.0,115.0,2023-04-28,2023-04-28,actual
82,2023-04-29 00:00:00,Saturday,57.0,20.0,2.0,3.0,53.0,51.35,-1.1074807962071722,12241.32,27.0,19.0,130.0,111.0,2023-04-29,2023-04-29,actual
83,2023-04-30 00:00:00,Sunday,68.0,24.0,1.0,2.0,59.0,59.65,-0.9021475570699437,11450.62,16.0,16.0,147.0,114.0,2023-04-30,2023-04-30,actual
84,2023-05-01 00:00:00,Monday,59.0,15.0,1.0,2.0,52.0,52.68,-1.1990260236849402,11215.15,17.0,18.0,135.0,112.0,2023-05-01,2023-05-01,actual
85,2023-05-02 00:00:00,Tuesday,52.0,17.0,0.0,2.0,48.0,46.85,-1.3778009418784494,11370.58,26.0,19.0,114.0,111.0,2023-05-02,2023-05-02,actual
86,2023-05-04 00:00:00,Thursday,70.0,17.0,0.0,4.0,64.0,67.96,-0.985561805577846,10654.04,1.0,27.0,133.0,103.0,2023-05-04,2023-05-04,actual
87,2023-05-05 00:00:00,Friday,50.0,18.0,0.0,3.0,44.0,45.45,-1.6119162726673593,9980.91,14.0,20.0,113.0,110.0,2023-05-05,2023-05-05,actual
88,2023-05-06 00:00:00,Saturday,45.0,17.0,0.0,2.0,41.0,41.28,-1.6701049395256975,10580.53,14.0,21.0,108.0,109.0,2023-05-06,2023-05-06,actual
89,2023-05-07 00:00:00,Sunday,47.0,21.0,1.0,2.0,33.0,42.34,-1.6304197711723076,10462.9,19.0,19.0,110.0,111.0,2023-05-07,2023-05-07,actual
90,2023-05-08 00:00:00,Monday,41.0,8.0,0.0,2.0,38.0,37.27,-1.7813747085569638,10543.7,12.0,20.0,100.0,110.0,2023-05-08,2023-05-08,actual
91,2023-05-09 00:00:00,Tuesday,49.0,26.0,0.0,2.0,30.0,45.37,-1.627299891948466,10060.92,12.0,23.0,102.0,108.0,2023-05-09,2023-05-09,actual
92,2023-05-10 00:00:00,Wednesday,52.0,27.0,1.0,2.0,31.0,54.17,-1.5313807410348323,10207.13,15.0,39.0,100.0,96.0,2023-05-10,2023-05-10,actual
93,2023-05-11 00:00:00,Thursday,56.0,19.0,1.0,2.0,40.0,57.73,-1.3495290989851016,10757.27,12.0,34.0,107.0,97.0,2023-05-11,2023-05-11,actual
94,2023-05-12 00:00:00,Friday,52.0,22.0,0.0,2.0,37.0,60.47,-1.5403418261936288,10139.24,19.0,44.0,110.0,86.0,2023-05-12,2023-05-12,actual
95,2023-05-13 00:00:00,Saturday,54.0,23.0,0.0,2.0,37.0,62.07,-1.473438313627033,10251.78,15.0,42.0,120.0,87.0,2023-05-13,2023-05-13,actual
96,2023-05-14 00:00:00,Sunday,57.0,13.0,0.0,2.0,42.0,57.58,-1.4176663473554296,10097.63,16.0,32.0,121.0,99.0,2023-05-14,2023-05-14,actual
97,2023-05-15 00:00:00,Monday,58.0,27.0,0.0,2.0,41.0,59.79,-1.324910231033258,10553.53,11.0,33.0,123.0,97.0,2023-05-15,2023-05-15,actual
98,2023-05-16 00:00:00,Tuesday,52.0,17.0,1.0,2.0,43.0,54.74,-1.5124355346495353,10350.64,16.0,37.0,122.0,95.0,2023-05-16,2023-05-16,actual
99,2023-05-17 00:00:00,Wednesday,61.0,28.0,1.0,3.0,45.0,61.0,-1.1206964929031198,11353.28,15.0,30.0,130.0,100.0,2023-05-17,2023-05-17,actual
100,2023-05-18 00:00:00,Thursday,64.0,23.0,0.0,3.0,45.0,64.0,-1.0875734789790468,11024.96,21.0,31.0,132.0,100.0,2023-05-18,2023-05-18,actual
101,2023-05-19 00:00:00,Friday,57.0,15.0,0.0,4.0,46.0,57.58,-1.274184904222189,11089.23,21.0,30.0,129.0,99.0,2023-05-19,2023-05-19,actual
102,2023-05-20 00:00:00,Saturday,38.0,14.0,0.0,3.0,35.0,41.3,-1.7480003780802789,11722.06,19.0,39.0,120.0,92.0,2023-05-20,2023-05-20,actual
103,2023-05-21 00:00:00,Sunday,35.0,21.0,0.0,2.0,22.0,36.08,-1.959131667784842,10350.53,26.0,32.0,111.0,97.0,2023-05-21,2023-05-21,actual
104,2023-05-22 00:00:00,Monday,41.0,25.0,1.0,2.0,24.0,41.41,-1.809722707981406,10271.32,11.0,31.0,115.0,99.0,2023-05-22,2023-05-22,actual
105,2023-05-23 00:00:00,Tuesday,35.0,20.0,0.0,3.0,26.0,37.23,-2.0002968113925035,9887.2,17.0,37.0,108.0,94.0,2023-05-23,2023-05-23,actual
106,2023-05-24 00:00:00,Wednesday,48.0,27.0,1.0,3.0,41.0,57.83,-1.7289434754493764,9436.36,19.0,47.0,130.0,83.0,2023-05-24,2023-05-24,actual
107,2023-05-25 00:00:00,Thursday,51.0,21.0,0.0,3.0,40.0,53.13,-1.4371649578666807,11135.0,25.0,35.0,124.0,96.0,2023-05-25,2023-05-25,actual
108,2023-05-26 00:00:00,Friday,48.0,19.0,0.0,4.0,40.0,47.52,-1.6179529470321237,10347.23,23.0,29.0,128.0,101.0,2023-05-26,2023-05-26,actual
109,2023-05-27 00:00:00,Saturday,48.0,21.0,0.0,4.0,33.0,53.93,-1.662108503760766,9984.87,18.0,41.0,131.0,89.0,2023-05-27,2023-05-27,actual
110,2023-05-28 00:00:00,Sunday,51.0,26.0,3.0,5.0,31.0,51.0,-1.7225285569801756,8930.84,23.0,30.0,126.0,100.0,2023-05-28,2023-05-28,actual
111,2023-05-29 00:00:00,Monday,54.0,21.0,0.0,2.0,39.0,58.06,-1.5567281731341478,9644.17,12.0,37.0,119.0,93.0,2023-05-29,2023-05-29,actual
112,2023-05-30 00:00:00,Tuesday,67.0,31.0,1.0,4.0,43.0,70.53,-1.1362451180015982,10245.14,12.0,35.0,143.0,95.0,2023-05-30,2023-05-30,actual
113,2023-05-31 00:00:00,Wednesday,62.0,24.0,1.0,3.0,48.0,56.88,-1.2836105442206627,10135.06,20.0,21.0,132.0,109.0,2023-05-31,2023-05-31,actual
114,2023-06-01 00:00:00,Thursday,53.0,14.0,2.0,4.0,44.0,48.62,-1.6154575513632576,9389.64,19.0,21.0,114.0,109.0,2023-06-01,2023-06-01,actual
115,2023-06-02 00:00:00,Friday,40.0,14.0,2.0,4.0,37.0,38.83,-1.92693268643805,9373.81,10.0,27.0,100.0,103.0,2023-06-02,2023-06-02,actual
116,2023-06-03 00:00:00,Saturday,32.0,13.0,0.0,2.0,30.0,32.0,-2.1031182825743433,9548.41,20.0,30.0,89.0,100.0,2023-06-03,2023-06-03,actual
117,2023-06-04 00:00:00,Sunday,34.0,16.0,0.0,2.0,27.0,33.33,-2.102041936934873,8999.19,16.0,28.0,89.0,102.0,2023-06-04,2023-06-04,actual
118,2023-06-05 00:00:00,Monday,53.0,30.0,0.0,6.0,37.0,51.96,-1.6507408722193804,9127.39,11.0,33.0,113.0,102.0,2023-06-05,2023-06-05,actual
119,2023-06-06 00:00:00,Tuesday,50.0,15.0,0.0,7.0,50.0,51.02,-1.682965239076537,9421.16,17.0,32.0,117.0,98.0,2023-06-06,2023-06-06,actual
120,2023-06-07 00:00:00,Wednesday,62.0,31.0,0.0,6.0,47.0,62.0,-1.4657541196395891,8977.78,22.0,30.0,124.0,100.0,2023-06-07,2023-06-07,actual
121,2023-06-08 00:00:00,Thursday,68.0,33.0,5.0,3.0,50.0,66.02,-1.24232355016325,9479.97,22.0,27.0,142.0,103.0,2023-06-08,2023-06-08,actual
122,2023-06-09 00:00:00,Friday,61.0,30.0,12.0,3.0,49.0,61.0,-1.3430964106586456,9917.06,27.0,30.0,153.0,100.0,2023-06-09,2023-06-09,actual
123,2023-06-10 00:00:00,Saturday,94.0,69.0,5.0,3.0,43.0,81.74,-0.7960412008468905,8728.08,29.0,15.0,166.0,115.0,2023-06-10,2023-06-10,actual
124,2023-06-11 00:00:00,Sunday,73.0,7.0,2.0,2.0,27.0,66.97,-1.33154092634056,8349.21,25.0,21.0,130.0,109.0,2023-06-11,2023-06-11,actual
125,2023-06-12 00:00:00,Monday,84.0,14.0,0.0,4.0,31.0,77.06,-1.103563811957874,8324.98,11.0,21.0,146.0,109.0,2023-06-12,2023-06-12,actual
126,2023-06-13 00:00:00,Tuesday,92.0,16.0,0.0,3.0,38.0,83.64,-0.9147260774557331,8409.63,8.0,20.0,159.0,110.0,2023-06-13,2023-06-13,actual
127,2023-06-14 00:00:00,Wednesday,62.0,32.0,0.0,3.0,42.0,57.41,-1.4697954928896753,8952.11,59.0,22.0,137.0,108.0,2023-06-14,2023-06-14,actual
128,2023-06-15 00:00:00,Thursday,70.0,40.0,1.0,3.0,39.0,67.31,-0.990562751119724,10625.89,21.0,26.0,134.0,104.0,2023-06-15,2023-06-15,actual
129,2023-06-16 00:00:00,Friday,89.0,38.0,0.0,1.0,37.0,81.65,-0.42652717342491225,10853.94,21.0,21.0,155.0,109.0,2023-06-16,2023-06-16,actual
130,2023-06-17 00:00:00,Saturday,54.0,19.0,1.0,2.0,30.0,50.47,-1.3148829544391372,11408.43,23.0,24.0,122.0,107.0,2023-06-17,2023-06-17,actual
131,2023-06-18 00:00:00,Sunday,62.0,28.0,0.0,2.0,36.0,61.39,-1.431288212217215,9196.77,22.0,29.0,134.0,101.0,2023-06-18,2023-06-18,actual
132,2023-06-19 00:00:00,Monday,65.0,27.0,2.0,2.0,43.0,64.36,-1.275855270804197,9714.29,14.0,29.0,133.0,101.0,2023-06-19,2023-06-19,actual
133,2023-06-20 00:00:00,Tuesday,55.0,30.0,1.0,2.0,39.0,50.0,-1.4554983734521847,10193.86,22.0,21.0,124.0,110.0,2023-06-20,2023-06-20,actual
134,2023-06-21 00:00:00,Wednesday,58.0,29.0,1.0,1.0,37.0,53.21,-1.5315939793218971,9149.77,19.0,21.0,122.0,109.0,2023-06-21,2023-06-21,actual
135,2023-06-22 00:00:00,Thursday,68.0,22.0,0.0,2.0,45.0,62.96,-1.3985789821120895,8574.77,12.0,22.0,137.0,108.0,2023-06-22,2023-06-22,actual
136,2023-06-23 00:00:00,Friday,51.0,14.0,0.0,2.0,36.0,45.95,-1.619437999388468,9727.11,12.0,20.0,120.0,111.0,2023-06-23,2023-06-23,actual
137,2023-06-24 00:00:00,Saturday,36.0,13.0,0.0,2.0,27.0,35.64,-2.050775898753033,9060.22,13.0,29.0,97.0,101.0,2023-06-24,2023-06-24,actual
138,2023-06-25 00:00:00,Sunday,47.0,26.0,1.0,2.0,29.0,43.93,-1.7207591869077445,9705.73,16.0,23.0,107.0,107.0,2023-06-25,2023-06-25,actual
139,2023-06-26 00:00:00,Monday,66.0,32.0,0.0,2.0,48.0,62.86,-1.2455652798368428,9747.88,12.0,25.0,130.0,105.0,2023-06-26,2023-06-26,actual
140,2023-06-27 00:00:00,Tuesday,64.0,17.0,2.0,3.0,46.0,60.95,-1.1886306571905287,10402.94,19.0,25.0,127.0,105.0,2023-06-27,2023-06-27,actual
141,2023-06-28 00:00:00,Wednesday,57.0,22.0,0.0,2.0,39.0,56.44,-1.4969097565103853,9549.99,19.0,29.0,118.0,101.0,2023-06-28,2023-06-28,actual
142,2023-06-29 00:00:00,Thursday,66.0,23.0,0.0,2.0,45.0,64.71,-1.1865617380957925,10100.05,19.0,28.0,137.0,102.0,2023-06-29,2023-06-29,actual
143,2023-06-30 00:00:00,Friday,77.0,33.0,2.0,2.0,45.0,76.24,-0.8993399196235898,10126.59,18.0,30.0,151.0,101.0,2023-06-30,2023-06-30,actual
144,2023-07-01 00:00:00,Saturday,31.0,9.0,2.0,2.0,27.0,30.69,-2.1493402198466853,9269.05,34.0,29.0,89.0,101.0,2023-07-01,2023-07-01,actual
145,2023-07-02 00:00:00,Sunday,48.0,29.0,2.0,2.0,26.0,51.61,-1.692507652422689,9735.39,10.0,37.0,117.0,93.0,2023-07-02,2023-07-02,actual
146,2023-07-03 00:00:00,Monday,50.0,21.0,2.0,2.0,37.0,50.51,-1.7219751528542215,9113.82,15.0,31.0,119.0,99.0,2023-07-03,2023-07-03,actual
147,2023-07-04 00:00:00,Tuesday,43.0,14.0,0.0,2.0,37.0,43.43,-1.9075813118869154,8897.11,18.0,31.0,108.0,99.0,2023-07-04,2023-07-04,actual
148,2023-07-05 00:00:00,Wednesday,68.0,29.0,0.0,2.0,48.0,70.83,-1.36259248261886,8783.24,7.0,34.0,139.0,96.0,2023-07-05,2023-07-05,actual
149,2023-07-06 00:00:00,Thursday,66.0,29.0,0.0,2.0,45.0,68.04,-1.4162574515301798,8729.11,23.0,34.0,129.0,97.0,2023-07-06,2023-07-06,actual
